Gender,Age,StudyTime,Attendance,PastFailures,ParentalSupport,FinalGrade
M,17,8,92,0,High,85
F,16,5,88,0,Medium,78
M,18,10,95,1,High,88
F,17,3,75,2,Low,65
M,16,2,60,3,Low,55
F,18,7,85,0,High,80
M,17,9,90,0,Medium,82
F,16,4,70,1,Low,66
M,17,6,80,1,Medium,74
F,18,10,98,0,High,92
M,17,1,55,3,Low,50
F,16,8,90,0,High,85
M,18,5,85,1,Medium,76
F,17,9,96,0,High,89
M,16,4,72,2,Low,68
F,18,6,83,0,Medium,77
M,17,7,88,1,Medium,81
F,16,10,99,0,High,94
M,18,3,65,2,Low,62
F,17,9,91,0,High,87
M,16,2,60,3,Low,58
F,18,8,95,0,High,90
M,17,6,85,1,Medium,79
F,16,5,78,1,Low,70
M,18,10,97,0,High,91
F,17,9,93,0,High,88
M,17,7,87,1,Medium,80
F,18,6,84,0,Medium,78
M,16,4,75,2,Low,67
F,17,10,100,0,High,95
M,18,5,82,1,Medium,77
F,16,8,94,0,High,88
M,17,9,92,0,High,85
F,18,10,97,0,High,93
M,16,3,65,2,Low,60
F,17,7,88,0,Medium,81
M,18,8,90,1,Medium,84
F,16,6,80,1,Medium,76
M,17,5,78,2,Low,70
F,18,9,95,0,High,91
M,16,2,58,3,Low,54
F,17,10,99,0,High,94
M,18,4,70,2,Low,68
F,16,8,90,0,High,86
M,17,6,83,1,Medium,79
F,18,9,96,0,High,90
M,17,3,68,2,Low,63
F,16,5,75,1,Low,69
M,18,7,85,1,Medium,80
F,17,9,93,0,High,89
M,16,4,72,2,Low,66
F,18,10,98,0,High,92
M,17,8,88,1,Medium,82
F,16,7,84,0,Medium,78
M,18,5,82,1,Low,76
F,17,6,87,0,Medium,80
M,16,9,91,0,High,85
F,18,10,97,0,High,93
M,17,3,68,2,Low,62
F,16,8,90,0,High,87
M,18,6,84,1,Medium,78
F,17,9,95,0,High,89
M,16,4,70,2,Low,65
F,18,7,85,0,High,81
M,17,5,80,1,Medium,75
F,16,9,92,0,High,88
M,18,10,96,0,High,92
F,17,8,89,0,Medium,83
M,16,2,60,3,Low,56
F,18,9,94,0,High,90
M,17,7,86,1,Medium,79
F,16,5,77,1,Low,70
M,18,6,85,1,Medium,80
F,17,10,99,0,High,95
M,16,3,65,2,Low,61
F,18,8,93,0,High,89
M,17,9,92,0,High,86
F,16,6,82,1,Medium,77
M,18,10,98,0,High,93
F,17,8,88,0,Medium,82
M,16,4,73,2,Low,68
F,18,7,86,0,Medium,80
M,17,5,81,1,Medium,76
F,16,9,94,0,High,89
M,18,6,84,1,Medium,78
F,17,10,100,0,High,96
M,16,2,59,3,Low,55
F,18,8,92,0,High,87
M,17,9,90,0,Medium,84
F,16,6,83,1,Medium,76
M,18,7,88,1,Medium,82
F,17,10,99,0,High,94
M,16,4,70,2,Low,65
F,18,8,95,0,High,90
M,17,6,85,1,Medium,79
F,16,9,91,0,High,88
M,18,10,97,0,High,92
F,17,7,86,0,Medium,80
